,price,area_total,area_util,quarto,banheiro,vaga,bairro
1943,R$ 610.000,127 m² área total,52 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Perdizes
1944,R$ 450.000,60 m² área total,60 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Indian
1945,R$ 245.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
1946,R$ 580.000,64 m² área total,64 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Paraíso
1947,R$ 620.000,183 m² área total,163 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Interlagos
1948,R$ 265.000,70 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
1949,R$ 2.950.000,440 m² área total,440 m² área útil,4 Quartos,2 Banheiros,5 Vagas,<span> Morumbi
1950,R$ 615.000,65 m² área total,65 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Nova Conceição
1951,R$ 635.000,40 m² área total,40 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
1952,R$ 415.000,33 m² área total,33 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
1953,R$ 255.000,62 m² área total,62 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Jardim Ester
1954,R$ 1.500.000,172 m² área total,172 m² área útil,4 Quartos,5 Banheiros,3 Vagas,<span> Vila Leopoldina
1955,R$ 555.000,121 m² área total,121 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Vila Romana
1956,R$ 625.000,45 m² área total,45 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
1957,R$ 1.860.000,200 m² área total,169 m² área útil,3 Quartos,5 Banheiros,3 Vagas,<span> Campo Belo
1958,R$ 850.000,163 m² área total,103 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Sumaré
1959,R$ 340.000,60 m² área total,60 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Mascote
1960,R$ 740.000,255 m² área total,105 m² área útil,3 Quartos,4 Banheiros,3 Vagas,<span> Santana
1961,R$ 885.000,600 m² área total,66 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
1962,R$ 220.000,23 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Cerqueira César
1963,R$ 450.000,93 m² área total,93 m² área útil,3 Quartos,3 Banheiros,1 Vaga,<span> Jardim Umuarama
1964,R$ 297.000,57 m² área total,57 m² área útil,3 Quartos,1 Banheiro,1 Vaga,<span> Jardim Monte Alegre
1965,R$ 245.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
1966,R$ 1.125.000,66 m² área total,66 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
1967,R$ 520.000,47 m² área total,47 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Paraíso
1968,R$ 1.160.000,118 m² área total,118 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Vila Leopoldina
1969,R$ 1.170.000,95 m² área total,95 m² área útil,2 Quartos,3 Banheiros,2 Vagas,<span> Brooklin Paulista
1970,R$ 280.000,65 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
1971,R$ 700.000,92 m² área total,92 m² área útil,3 Quartos,3 Banheiros,2 Vagas,<span> Jardim Marajoara
1972,R$ 710.000,90 m² área total,75 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Bela Vista
1973,R$ 220.000,23 m² área total,23 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Cerqueira César
1974,R$ 270.000,65 m² área total,29 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
1975,R$ 1.380.000,250 m² área total,118 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
1976,R$ 750.000,64 m² área total,64 m² área útil,2 Quartos,2 Banheiros,2 Vagas,<span> Vila Madalena
1977,R$ 210.000,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Moema
1978,R$ 1.650.000,120 m² área total,120 m² área útil,4 Quartos,3 Banheiros,2 Vagas,<span> Moema
1979,R$ 4.260.000,335 m² área total,255 m² área útil,3 Quartos,6 Banheiros,3 Vagas,<span> Pinheiros
1980,R$ 635.000,87 m² área total,87 m² área útil,3 Quartos,2 Banheiros,2 Vagas,<span> Santa Teresinha
1981,R$ 249.100,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
1982,R$ 470.000,70 m² área total,43 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Vila Olímpia
1983,R$ 340.000,65 m² área total,28 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
1984,R$ 220.000,70 m² área total,26 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Parque Anhembi
1985,R$ 249.100,30 m² área total,30 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Brooklin
1986,R$ 1.990.000,303 m² área total,178 m² área útil,4 Quartos,5 Banheiros,3 Vagas,<span> Perdizes
1987,R$ 235.000,31 m² área total,31 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Paulista
1988,R$ 200.000,45 m² área total,35 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardim Ampliação
1989,R$ 450.000,40 m² área total,40 m² área útil,2 Quartos,1 Banheiro,1 Vaga,<span> Vila Olímpia
1990,R$ 1.035.000,84 m² área total,84 m² área útil,2 Quartos,1 Banheiro,2 Vagas,<span> Vila Mariana
1991,R$ 490.000,42 m² área total,42 m² área útil,1 Quarto,1 Banheiro,1 Vaga,<span> Jardins
